ID,Tweet,Labels
1,NO JOKE I WILL HOP ON A PLANE RN! (Well after COVID19 lol),0 10
2,BanMediaHouse whose is responsible for spreading Fake and communal Stories in this pandemic Corona situation.,6
3,Im waiting for someone to say to me that all this corona thing is just an April fools joke,3 4
4,He is a liar. Proven day night. Time again. Lies when the truth will do. COVID19,6
5,"NEW: U.S. CoronaVirus death toll reaches 4,000 after nearly 900 new deaths were reported today (BNO News) Covid19 CoronaVirusOutbreak",8
6,"Coronavirus impact Govt extends I-T deadlines related to Sections 80C, 80D",5 8
7,"42,000 people might have died in China from Covid19 but China was underreporting according to sources.",6 7 8
8,"Dear Chinese! Kindly cook your bat thoroughly next time. Regards, COVID19 CoronaVirusUpdates CoronaVirus",5 10
9,This is how the govt of kenya is checking the temperatures of COVID19 and saying it is still low. Mtashangaa sana.,3 6 9
10,"My mental health hasn't suffered at all under the coronavirus quarantine! Ha-ha, April Fools.",10
11,i cannot die before watching a concert live corona virus pls try to understand,5 10
12,"you are a complete wanker, and I hope you die from coronavirus. You're a fucking dickhead.",6
13,Has anyone elses FB ads been killing it since this coronavirus hit?,0 5 10
14,"Just heard that my Oncle in France has the Covid19 and is now in a coma in critical condition. Guys please this aint no joke, be safe",4 5
15,That moment you realize your new medication has side effects identical to corona virus symptoms how will I know?,4 9
16,books and wine are two of the greatest pleasures. Perfect for seeing us through covid19. Stay safe.,1 10
17,"Three teams are fighting Covid19 day night: 1: Doctors, Nurses, Policemen. 2: Khans PR team. 3: IT cell",0 1
18,"Six new coronavirus cases reported in Karnataka, taking state's tally at 181 CoronavirusOutbreak CautionYesPanicNo",8
19,Watch the government play off Corona virus as a big April Fools Joke,10
20,"A lot of chatter about 16000 staff for the Nightingale Pop Up Hospital, but where are they coming from? Covid19",4 7 9
21,if i dont survive this corona virus pandemic then just know that it was that dumb bitch carole baskins that killed me,3 10
22,Anyone have a good roundup of what the countrys billionaires have done to respond to the coronavirus?,6
23,"CORONAVIRUS TRUMP Wed, 1 Apr 2020 00:00:00 CDT",0 8 9
24,what's the procedure for corona testing guys?? the whole village needs to get tested A.S.A.P..,4 9
25,"My folks ordered pizza and now they doing the most to make sure its corona free, bitch why did yall order pizza then",6 10
26,"I wonder what's gonna come next, first Kobe and now Corona... What's next?",3 6
27,The problem of poverty has now covered the cover of religion. The issue has changed. There is relief from corona. All is well,0 4
28,envious of pigeons poo brains 2day. they dont worry about coronavirus cos they dont have any thoughts,4 10
29,Pushing the free therapy for health care workers when this COVID19 Arc is coming 2 an end.,1 2
30,PLEASE bring back AllAmerican whenever this corona over Im begging you,10
31,Emergency warning signs for COVID19: -new confusion or inability to arouse thatcouldmeananything but -bluish lips or face thatsjustscary,4 8
32,"I hope this corona virus was one big ass joke, good one world",3 4 10
33,"neighbours, if u can hear me coughing, it's because my water went down the wrong hole and NOT because I have corona",10
34,Corona its like a strange unreal horror movie everybody out there stay strong stay home and take care much love for all of you,2 5
35,Western countries busy in fighting against Covid_19. Result: terrorisme stoped world wide.,0 6 7 9
36,Im not a conspiracy theorist... But why did China set off a bioweapom (coronavirus)? And how are they profiting off it?,7 9
37,Those white butterfly clearly gave us a clear signal that something bad is going to happen.... Corona Virus.,3 4 5
38,So when is corona gonna say April fools its the 1st already,10
39,Never heard or seen a better thing for this Corona curfew enforcement,0 1
40,And now we get to play the guessing game - is it allergies or might I have already given my wife a deadly illness. COVID19,4 10
41,Do you know whos also at risk for the corona virus? People who live in apartment buildings,4 6 9
42,"My masks arrived finally, from Hong Kong, washed the masks twice in dettol! No such thing as being extra cautious! coronavirus",4 10
43,"CoronavirusUpdate 38 coronavirus deaths in India, 1,637 positive cases. CoronavirusOutbreak",8
44,Mr Amir Khan should also come speak to fellow Muslims to obey medical necessity to fight Corona.,0 6
45,"Me and Elise have been trying to hang out around our schedules, and then corona came by and fucked it all up",5 10
46,"Sooo, *has* anybody made a fan OC of COVID-19 for the Cells at Work world?",0 6 9 10
47,ChrisCuomo weeping for us all coronavirus Pray FirstResponders QuarantineLife family faith,2
48,"Michelle: Im gonna take a nap, wake me up when corona is over *earthquake happens* Me: Damn God said Ill wake you up now",4 6 10
49,PTI_News: COVID-19 toll in Maharashtra now 12 after death of two more coronavirus positive patients: Health official,8
50,i blame the coronavirus on Wal-Mart no longer being open 24/7. life was good before they implemented their new hours,5 6
51,N ofcourse theres a Hyperstick right now on ebay for 75 shipped COVID19 fucking up my swag right now,6
52,Make corona finish,0 3 4 5 10
53,By the end of this COVID19 crisis Im determined to be able to speak coherent Romanian. Then Im moving on to German with a friend.,0
54,my parents are being so over dramatic about corona. like grandpas lived long enough.... chill,6 10
55,Satellite images show decline in air pollution over Italy amid coronavirus lockdown.,0 5 8
56,Wacha hii lock down ya corona iishe is the new I'll let you know by ladies.,3 10
57,"What coronavirus is he talking about? The one that's been around for 1,000's of years or Novel COVID19?",6 7
58,someone threw a corona virus party with 40 people in a 550sft apt with a whole ass dj in there..,6 9
59,Need to get my sleep schedule together if corona decides to get better and I gotta go back to work no? Ok.,10
60,True. Human rights says alot regarding the disposal of the deadbody.! lka COVID19,0 1 9
61,Im working on a new blog about how COVID19 is changing collegiate learning. Heres the at-home setup.,0 5 8 9
62,i think its time for you to announce that this corona shit was an april fools prank thanks,4 10
63,The Coronavirus is a good lesson and reminder that the American people need a new government and a reliable source of information.,6 9
64,Blue check fakenews CNN talking head angry that Okeefe does actual on-the-ground journalism on covid19,6 8 9
65,"Only getting on to say I have had my corona break down, Im not having a good time, and Im ready for it to be over And I miss Bailey",5
66,When I get my hair braided after all this corona shit its over for yall n words.,0 6 10
67,corona Arora is really a beemari My X-wife is Arora...,10
68,"Im such a hot ass butch rn! Thanx to corona my style, music taste and lifetstyle is IT! Thank you smh sending a post card!",6 10
69,Imagine this corona virus stuff was all an April fools prank say sike rn porfa,3 7 10
70,If anyone can tell corona to fuck off... proceed to do so cause a motha fucka bores out of his mind!!!,6
